code,unit,statisticalUnit,description
KS103EW0010,Percentage,Person,In a registered same-sex civil partnership
KS103EW0011,Percentage,Person,Separated (but still legally married or still legally in a same-sex civil partnership)
KS103EW0012,Percentage,Person,Divorced or formerly in a same-sex civil partnership which is now legally dissolved
KS103EW0013,Percentage,Person,Widowed or surviving partner from a same-sex civil partnership
KS104EW0001,Count,Person,All categories: Living arrangements
KS104EW0002,Count,Person,Living in a couple: Married or in a registered same-sex civil partnership
KS104EW0003,Count,Person,Living in a couple: Cohabiting
KS104EW0004,Count,Person,Not living in a couple: Single (never married or never registered a same-sex civil partnership)
KS104EW0005,Count,Person,Not living in a couple: Married or in a registered same-sex civil partnership
KS104EW0006,Count,Person,Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership)
KS104EW0007,Count,Person,Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved
KS104EW0008,Count,Person,Not living in a couple: Widowed or surviving partner from a same-sex civil partnership
KS104EW0009,Percentage,Person,Living in a couple: Married or in a registered same-sex civil partnership
KS104EW0010,Percentage,Person,Living in a couple: Cohabiting
KS104EW0011,Percentage,Person,Not living in a couple: Single (never married or never registered a same-sex civil partnership)
KS104EW0012,Percentage,Person,Not living in a couple: Married or in a registered same-sex civil partnership
KS104EW0013,Percentage,Person,Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership)
KS104EW0014,Percentage,Person,Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved
KS104EW0015,Percentage,Person,Not living in a couple: Widowed or surviving partner from a same-sex civil partnership
KS105EW0001,Count,Household,All categories: Household composition
QS103EW0057,Count,Person,Age 55
KS105EW0002,Count,Household,One person household: Aged 65 and over
KS105EW0003,Count,Household,One person household: Other
KS105EW0004,Count,Household,One family only: All aged 65 and over
KS105EW0005,Count,Household,One family only: Married or same-sex civil partnership couple: No children
KS105EW0006,Count,Household,One family only: Married or same-sex civil partnership couple: Dependent children
KS105EW0007,Count,Household,One family only: Married or same-sex civil partnership couple: All children non-dependent
KS105EW0008,Count,Household,One family only: Cohabiting couple: No children
KS105EW0009,Count,Household,One family only: Cohabiting couple: Dependent children
KS105EW0010,Count,Household,One family only: Cohabiting couple: All children non-dependent
KS105EW0011,Count,Household,One family only: Lone parent: Dependent children
KS105EW0012,Count,Household,One family only: Lone parent: All children non-dependent
KS105EW0013,Count,Household,Other household types: With dependent children
KS105EW0014,Count,Household,Other household types: All full-time students
KS105EW0015,Count,Household,Other household types: All aged 65 and over
KS105EW0016,Count,Household,Other household types: Other
KS105EW0017,Percentage,Household,One person household: Aged 65 and over
KS105EW0018,Percentage,Household,One person household: Other
KS105EW0019,Percentage,Household,One family only: All aged 65 and over
KS105EW0020,Percentage,Household,One family only: Married or same-sex civil partnership couple: No children
KS105EW0021,Percentage,Household,One family only: Married or same-sex civil partnership couple: Dependent children
KS105EW0022,Percentage,Household,One family only: Married or same-sex civil partnership couple: All children non-dependent
KS105EW0023,Percentage,Household,One family only: Cohabiting couple: No children
KS105EW0024,Percentage,Household,One family only: Cohabiting couple: Dependent children
KS105EW0025,Percentage,Household,One family only: Cohabiting couple: All children non-dependent
KS105EW0026,Percentage,Household,One family only: Lone parent: Dependent children
KS105EW0027,Percentage,Household,One family only: Lone parent: All children non-dependent
KS105EW0028,Percentage,Household,Other household types: With dependent children
KS105EW0029,Percentage,Household,Other household types: All full-time students
KS105EW0030,Percentage,Household,Other household types: All aged 65 and over
KS105EW0031,Percentage,Household,Other household types: Other
KS106EW0001,Count,Household,All households
KS106EW0002,Count,Household,No adults in employment in household: With dependent children
KS106EW0003,Count,Household,No adults in employment in household: No dependent children
KS106EW0004,Count,Household,Dependent children in household: All ages
KS106EW0005,Count,Household,Dependent children in household: Age 0 to 4
KS106EW0006,Count,Household,One person in household with a long-term health problem or disability: With dependent children
KS106EW0007,Count,Household,One person in household with a long-term health problem or disability: No dependent children
KS106EW0008,Percentage,Household,No adults in employment in household: With dependent children
KS106EW0009,Percentage,Household,No adults in employment in household: No dependent children
KS106EW0010,Percentage,Household,Dependent children in household: All ages
KS106EW0011,Percentage,Household,Dependent children in household: Age 0 to 4
KS106EW0012,Percentage,Household,One person in household with a long-term health problem or disability: With dependent children
KS106EW0013,Percentage,Household,One person in household with a long-term health problem or disability: No dependent children
KS107EW0001,Count,Household,All categories: Family status (lone parent) by sex and economic activity
KS107EW0002,Count,Household,Lone parent in part-time employment: Total
KS107EW0003,Count,Household,Lone parent in full-time employment: Total
KS107EW0004,Count,Household,Lone parent not in employment: Total
KS107EW0005,Count,Household,Male lone parent: Total
KS107EW0006,Count,Household,Male lone parent: In part-time employment
KS107EW0007,Count,Household,Male lone parent: In full-time employment
KS107EW0008,Count,Household,Male lone parent: Not in employment
KS107EW0009,Count,Household,Female lone parent: Total
KS107EW0010,Count,Household,Female lone parent: In part-time employment
KS107EW0011,Count,Household,Female lone parent: In full-time employment
KS107EW0012,Count,Household,Female lone parent: Not in employment
KS107EW0013,Percentage,Household,Lone parent in part-time employment: Total
KS107EW0014,Percentage,Household,Lone parent in full-time employment: Total
KS107EW0015,Percentage,Household,Lone parent not in employment: Total
KS107EW0016,Percentage,Household,Male lone parent: Total
KS107EW0017,Percentage,Household,Male lone parent: In part-time employment
KS107EW0018,Percentage,Household,Male lone parent: In full-time employment
KS107EW0019,Percentage,Household,Male lone parent: Not in employment
KS107EW0020,Percentage,Household,Female lone parent: Total
KS107EW0021,Percentage,Household,Female lone parent: In part-time employment
KS107EW0022,Percentage,Household,Female lone parent: In full-time employment
KS107EW0023,Percentage,Household,Female lone parent: Not in employment
KS201EW0001,Count,Person,All categories: Ethnic group
KS201EW0002,Count,Person,White: English/Welsh/Scottish/Northern Irish/British
KS201EW0003,Count,Person,White: Irish
KS201EW0004,Count,Person,White: Gypsy or Irish Traveller
KS201EW0005,Count,Person,White: Other White
KS201EW0006,Count,Person,Mixed/multiple ethnic group: White and Black Caribbean
KS201EW0007,Count,Person,Mixed/multiple ethnic group: White and Black African
KS201EW0008,Count,Person,Mixed/multiple ethnic group: White and Asian
KS201EW0009,Count,Person,Mixed/multiple ethnic group: Other Mixed
KS201EW0010,Count,Person,Asian/Asian British: Indian
KS201EW0011,Count,Person,Asian/Asian British: Pakistani
KS201EW0012,Count,Person,Asian/Asian British: Bangladeshi
KS201EW0013,Count,Person,Asian/Asian British: Chinese
KS201EW0014,Count,Person,Asian/Asian British: Other Asian
KS201EW0015,Count,Person,Black/African/Caribbean/Black British: African
KS201EW0016,Count,Person,Black/African/Caribbean/Black British: Caribbean
KS201EW0017,Count,Person,Black/African/Caribbean/Black British: Other Black
KS201EW0018,Count,Person,Other ethnic group: Arab
KS201EW0019,Count,Person,Other ethnic group: Any other ethnic group
KS201EW0020,Percentage,Person,White: English/Welsh/Scottish/Northern Irish/British
KS201EW0021,Percentage,Person,White: Irish
KS201EW0022,Percentage,Person,White: Gypsy or Irish Traveller
KS201EW0023,Percentage,Person,White: Other White
KS201EW0024,Percentage,Person,Mixed/multiple ethnic groups: White and Black Caribbean
KS201EW0025,Percentage,Person,Mixed/multiple ethnic groups: White and Black African
KS201EW0026,Percentage,Person,Mixed/multiple ethnic groups: White and Asian
KS201EW0027,Percentage,Person,Mixed/multiple ethnic groups: Other Mixed
KS201EW0028,Percentage,Person,Asian/Asian British: Indian
KS201EW0029,Percentage,Person,Asian/Asian British: Pakistani
KS201EW0030,Percentage,Person,Asian/Asian British: Bangladeshi
KS201EW0031,Percentage,Person,Asian/Asian British: Chinese
KS201EW0032,Percentage,Person,Asian/Asian British: Other Asian
KS201EW0033,Percentage,Person,Black/African/Caribbean/Black British: African
KS201EW0034,Percentage,Person,Black/African/Caribbean/Black British: Caribbean
KS201EW0035,Percentage,Person,Black/African/Caribbean/Black British: Other Black
KS201EW0036,Percentage,Person,Other ethnic group: Arab
KS201EW0037,Percentage,Person,Other ethnic group: Any other ethnic group
KS202EW0001,Count,Person,All categories: National identity English
KS202EW0002,Count,Person,English only identity
KS202EW0003,Count,Person,English and British only identity
KS202EW0004,Count,Person,Other English combined background identity
KS202EW0005,Count,Person,No English identity
KS202EW0006,Count,Person,All categories: National identity Welsh
KS202EW0007,Count,Person,Welsh only identity
KS202EW0008,Count,Person,Welsh and British only identity
KS202EW0009,Count,Person,Other Welsh combined background identity
KS202EW0010,Count,Person,No Welsh identity
KS202EW0011,Count,Person,All categories: National identity Scottish
KS202EW0012,Count,Person,Scottish only identity
KS202EW0013,Count,Person,Scottish and British only identity
KS202EW0014,Count,Person,Other Scottish combined background identity
KS202EW0015,Count,Person,No Scottish identity
KS202EW0016,Count,Person,All categories: National identity Northern Irish
KS202EW0017,Count,Person,Northern Irish only identity
KS202EW0018,Count,Person,Northern Irish and British only identity
KS202EW0019,Count,Person,Other Northern Irish combined background identity
KS202EW0020,Count,Person,No Northern Irish identity
KS202EW0021,Count,Person,All categories: National identity British
KS202EW0022,Count,Person,British only identity
KS202EW0023,Count,Person,British and any other identity
KS202EW0024,Count,Person,No British identity
KS202EW0025,Count,Person,All categories: National identity Cornish
KS202EW0026,Count,Person,Cornish only identity
KS202EW0027,Count,Person,Cornish and British only identity
KS202EW0028,Count,Person,Cornish and at least one of English/Welsh/Scottish/Northern Irish identities (with or without British)
KS202EW0029,Count,Person,No Cornish identity
KS202EW0030,Count,Person,All categories: National identity Irish
KS202EW0031,Count,Person,Irish only identity
KS202EW0032,Count,Person,Irish and British only identity
KS202EW0033,Count,Person,Irish and Northern Irish only identity
KS202EW0034,Count,Person,"Irish, Northern Irish and British only identity"
KS202EW0035,Count,Person,Irish and at least one of English/Welsh/Scottish identities (with or without British)
KS202EW0036,Count,Person,"Irish, Northern Irish and at least one of English/Welsh/Scottish identities (with or without British)"
KS202EW0037,Count,Person,No Irish identity
KS202EW0038,Count,Person,All categories: National identity Other
KS202EW0039,Count,Person,Other identities only
KS202EW0040,Count,Person,Other identities and at least one of English/Welsh/Scottish/Northern Irish/British only
KS202EW0041,Count,Person,At least one of English/Welsh/Scottish/Northern Irish/British identities only
KS202EW0042,Percentage,Person,English only identity
KS202EW0043,Percentage,Person,English and British only identity
KS202EW0044,Percentage,Person,Other English combined background identity
KS202EW0045,Percentage,Person,No English identity
KS202EW0046,Percentage,Person,Welsh only identity
KS202EW0047,Percentage,Person,Welsh and British only identity
KS202EW0048,Percentage,Person,Other Welsh combined background identity
KS202EW0049,Percentage,Person,No Welsh identity
KS202EW0050,Percentage,Person,Scottish only identity
KS202EW0051,Percentage,Person,Scottish and British only identity
KS202EW0052,Percentage,Person,Other Scottish combined background identity
KS202EW0053,Percentage,Person,No Scottish identity
KS202EW0054,Percentage,Person,Northern Irish only identity
KS202EW0055,Percentage,Person,Northern Irish and British only identity
KS207WA0013,Percentage,Person,Can speak and read but cannot write Welsh
KS202EW0056,Percentage,Person,Other Northern Irish combined background identity
KS202EW0057,Percentage,Person,No Northern Irish identity
KS202EW0058,Percentage,Person,British only identity
KS202EW0059,Percentage,Person,British and any other identity
KS202EW0060,Percentage,Person,No British identity
KS202EW0061,Percentage,Person,Cornish only identity
KS202EW0062,Percentage,Person,Cornish and British only identity
KS202EW0063,Percentage,Person,Cornish and at least one of English/Welsh/Scottish/Northern Irish identities (with or without British)
KS202EW0064,Percentage,Person,No Cornish identity
KS202EW0065,Percentage,Person,Irish only identity
KS202EW0066,Percentage,Person,Irish and British only identity
KS202EW0067,Percentage,Person,Irish and Northern Irish only identity
KS202EW0068,Percentage,Person,"Irish, Northern Irish and British only identity"
KS202EW0069,Percentage,Person,Irish and at least one of English/Welsh/Scottish identities (with or without British)
KS202EW0070,Percentage,Person,"Irish, Northern Irish and at least one of English/Welsh/Scottish identities (with or without British)"
KS202EW0071,Percentage,Person,No Irish identity
KS202EW0072,Percentage,Person,Other identities only
KS202EW0073,Percentage,Person,Other identities and at least one of English/Welsh/Scottish/Northern Irish/British only
KS202EW0074,Percentage,Person,At least one of English/Welsh/Scottish/Northern Irish/British identities only
KS204EW0001,Count,Person,All categories: Country of birth
KS204EW0002,Count,Person,England
KS204EW0003,Count,Person,Northern Ireland
KS204EW0004,Count,Person,Scotland
KS204EW0005,Count,Person,Wales
KS204EW0006,Count,Person,United Kingdom not otherwise specified
KS204EW0007,Count,Person,Ireland
KS204EW0008,Count,Person,Other EU: Member countries in March 2001
KS204EW0009,Count,Person,Other EU: Accession countries April 2001 to March 2011
KS204EW0010,Count,Person,Other countries
KS204EW0011,Percentage,Person,England
KS204EW0012,Percentage,Person,Northern Ireland
KS204EW0013,Percentage,Person,Scotland
KS204EW0014,Percentage,Person,Wales
KS204EW0015,Percentage,Person,United Kingdom not otherwise specified\n
KS204EW0016,Percentage,Person,Ireland
KS204EW0017,Percentage,Person,Other EU: Member countries in March 2001
KS204EW0018,Percentage,Person,Other EU: Accession countries April 2001 to March 2011
KS204EW0019,Percentage,Person,Other countries
KS205EW0001,Count,Person,All usual residents
KS205EW0002,Count,Person,No passport
KS205EW0003,Count,Person,United Kingdom
KS205EW0004,Count,Person,Republic of Ireland
KS205EW0005,Count,Person,Other Europe: EU countries
KS205EW0006,Count,Person,Other Europe: Non EU countries
KS205EW0007,Count,Person,Africa
KS205EW0008,Count,Person,Middle East and Asia
KS205EW0009,Count,Person,North America and the Caribbean
KS205EW0010,Count,Person,Central America
KS205EW0011,Count,Person,South America
KS205EW0012,Count,Person,Antarctica and Oceania
KS205EW0013,Count,Person,British Overseas Territories
KS205EW0014,Percentage,Person,No passport
KS205EW0015,Percentage,Person,United Kingdom
KS205EW0016,Percentage,Person,Republic of Ireland
KS205EW0017,Percentage,Person,Other Europe: EU countries
KS205EW0018,Percentage,Person,Other Europe: Non EU countries
KS205EW0019,Percentage,Person,Africa
KS205EW0020,Percentage,Person,Middle East and Asia
KS205EW0021,Percentage,Person,North America and the Caribbean
KS205EW0022,Percentage,Person,Central America
KS205EW0023,Percentage,Person,South America
KS205EW0024,Percentage,Person,Antarctica and Oceania
KS205EW0025,Percentage,Person,British Overseas Territories
KS206EW0001,Count,Household,All categories: English as a household language
KS206EW0002,Count,Household,All people aged 16 and over in household have English as a main language (English or Welsh in Wales)
KS206EW0003,Count,Household,At least one but not all people aged 16 and over in household have English as a main language (English or Welsh in Wales)
KS206EW0004,Count,Household,No people aged 16 and over in household but at least one person aged 3 to 15 has English as a main language (English or Welsh in Wales)
KS206EW0005,Count,Household,No people in household have English as a main language (English or Welsh in Wales)
KS206EW0006,Percentage,Household,All people aged 16 and over in household have English as a main language (English or Welsh in Wales)
KS206EW0007,Percentage,Household,At least one but not all people aged 16 and over in household have English as a main language (English or Welsh in Wales)
KS206EW0008,Percentage,Household,No people aged 16 and over in household but at least one person aged 3 to 15 has English as a main language (English or Welsh in Wales)
KS206EW0009,Percentage,Household,No people in household have English as a main language (English or Welsh in Wales)
KS207WA0001,Count,Person,All usual residents aged 3 and over
KS207WA0002,Count,Person,No skills in Welsh
KS207WA0003,Count,Person,Can understand spoken Welsh only
KS207WA0004,Count,Person,Can speak Welsh
KS207WA0005,Count,Person,Can speak but cannot read or write Welsh
KS207WA0006,Count,Person,Can speak and read but cannot write Welsh
KS207WA0007,Count,Person,"Can speak, read and write Welsh"
KS207WA0008,Count,Person,Other combination of skills in Welsh
KS207WA0009,Percentage,Person,No skills in Welsh
KS207WA0010,Percentage,Person,Can understand spoken Welsh only
KS207WA0011,Percentage,Person,Can speak Welsh
KS207WA0012,Percentage,Person,Can speak but cannot read or write Welsh
KS207WA0014,Percentage,Person,"Can speak, read and write Welsh"
KS207WA0015,Percentage,Person,Other combination of skills in Welsh
KS208WA0001,Count,Person,All categories: Age 3 and over
KS208WA0002,Count,Person,Age 3 to 15
KS208WA0003,Count,Person,Age 16 to 64
KS208WA0004,Count,Person,Age 65 and over
KS208WA0005,Count,Person,Can understand spoken Welsh only
KS208WA0006,Count,Person,Can speak Welsh
KS208WA0007,Count,Person,"Can speak, read and write Welsh"
KS208WA0008,Count,Person,All categories: Can speak Welsh by age 3 and over
KS208WA0009,Count,Person,Can speak Welsh: Age 3 to 15
KS208WA0010,Count,Person,Can speak Welsh: Age 16 to 64
KS208WA0011,Count,Person,Can speak Welsh: Age 65 and over
KS208WA0012,Count,Person,All categories: One or more skills in Welsh age 3 and over
KS208WA0013,Count,Person,One or more skills in Welsh: Age 3 to 15
KS208WA0014,Count,Person,One or more skills in Welsh: Age 16 to 64
KS208WA0015,Count,Person,One or more skills in Welsh: Age 65 and over
KS208WA0016,Percentage,Person,Age 3 to 15
KS208WA0017,Percentage,Person,Age 16 to 64
KS208WA0018,Percentage,Person,Age 65 and over
KS208WA0019,Percentage,Person,Can understand spoken Welsh only
KS208WA0020,Percentage,Person,Can speak Welsh
KS208WA0021,Percentage,Person,"Can speak, read and write Welsh"
KS208WA0022,Percentage,Person,Can speak Welsh: Age 3 to 15
KS208WA0023,Percentage,Person,Can speak Welsh: Age 16 to 64
KS208WA0024,Percentage,Person,Can speak Welsh: Age 65 and over
KS208WA0025,Percentage,Person,One or more skills in Welsh: Age 3 to 15
KS208WA0026,Percentage,Person,One or more skills in Welsh: Age 16 to 64
KS208WA0027,Percentage,Person,One or more skills in Welsh: Age 65 and over
KS209EW0001,Count,Person,All categories: Religion
KS209EW0002,Count,Person,Christian
KS209EW0003,Count,Person,Buddhist
KS209EW0004,Count,Person,Hindu
KS209EW0005,Count,Person,Jewish
KS209EW0006,Count,Person,Muslim
KS209EW0007,Count,Person,Sikh
KS209EW0008,Count,Person,Other religion
KS209EW0009,Count,Person,No religion
KS209EW0010,Count,Person,Religion not stated
KS209EW0011,Percentage,Person,Christian
KS209EW0012,Percentage,Person,Buddhist
KS209EW0013,Percentage,Person,Hindu
KS209EW0014,Percentage,Person,Jewish
KS209EW0015,Percentage,Person,Muslim
KS209EW0016,Percentage,Person,Sikh
KS209EW0017,Percentage,Person,Other religion
KS209EW0018,Percentage,Person,No religion
KS209EW0019,Percentage,Person,Religion not stated
KS301EW0001,Count,Person,All categories: Long-term health problem or disability
KS301EW0002,Count,Person,Day-to-day activities limited a lot
KS301EW0003,Count,Person,Day-to-day activities limited a little
KS301EW0004,Count,Person,Day-to-day activities not limited
KS301EW0005,Count,Person,Day-to-day activities limited a lot: Age 16 to 64
KS301EW0006,Count,Person,Day-to-day activities limited a little: Age 16 to 64
KS301EW0007,Count,Person,Day-to-day activities not limited: Age 16 to 64
KS301EW0008,Count,Person,Very good health
KS301EW0009,Count,Person,Good health
KS301EW0010,Count,Person,Fair health
KS301EW0011,Count,Person,Bad health
KS301EW0012,Count,Person,Very bad health
KS301EW0013,Count,Person,Provides no unpaid care
KS301EW0014,Count,Person,Provides 1 to 19 hours unpaid care a week
KS301EW0015,Count,Person,Provides 20 to 49 hours unpaid care a week
KS301EW0016,Count,Person,Provides 50 or more hours unpaid care a week
KS301EW0017,Percentage,Person,Day-to-day activities limited a lot
KS301EW0018,Percentage,Person,Day-to-day activities limited a little
KS301EW0019,Percentage,Person,Day-to-day activities not limited
KS301EW0020,Percentage,Person,Day-to-day activities limited a lot: Age 16 to 64
KS301EW0021,Percentage,Person,Day-to-day activities limited a little: Age 16 to 64
KS301EW0022,Percentage,Person,Day-to-day activities not limited: Age 16 to 64
KS301EW0023,Percentage,Person,Very good health
KS301EW0024,Percentage,Person,Good health
KS301EW0025,Percentage,Person,Fair health
KS301EW0026,Percentage,Person,Bad health
KS301EW0027,Percentage,Person,Very bad health
KS301EW0028,Percentage,Person,Provides no unpaid care
KS301EW0029,Percentage,Person,Provides 1 to 19 hours unpaid care a week
KS301EW0030,Percentage,Person,Provides 20 to 49 hours unpaid care a week
KS301EW0031,Percentage,Person,Provides 50 or more hours unpaid care a week
KS401EW0001,Count,Dwelling,All categories: Dwelling type
KS401EW0002,Count,Dwelling,Unshared dwelling
KS401EW0003,Count,Dwelling,Shared dwelling: Two household spaces
KS401EW0004,Count,Dwelling,Shared dwelling: Three or more household spaces
KS401EW0005,Count,Household,All categories: Household spaces
KS401EW0006,Count,Household,Household spaces with at least one usual resident
KS401EW0007,Count,Household,Household spaces with no usual residents
KS401EW0008,Count,Household,Whole house or bungalow: Detached
KS401EW0009,Count,Household,Whole house or bungalow: Semi-detached
KS401EW0010,Count,Household,Whole house or bungalow: Terraced (including end-terrace)
KS401EW0011,Count,Household,"Flat, maisonette or apartment: Purpose-built block of flats or tenement"
KS401EW0012,Count,Household,"Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)"
KS401EW0013,Count,Household,"Flat, maisonette or apartment: In a commercial building"
KS401EW0014,Count,Household,Caravan or other mobile or temporary structure
KS401EW0015,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Unshared dwelling
KS401EW0016,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Shared dwelling: Two household spaces
KS401EW0017,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Shared dwelling: Three or more household spaces
KS401EW0018,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Household spaces with at least one usual resident
KS401EW0019,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Household spaces with no usual residents
KS401EW0020,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Whole house or bungalow: Detached 
KS401EW0021,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Whole house or bungalow: Semi-detached
KS401EW0022,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Whole house or bungalow: Terraced (including end-terrace)
KS401EW0023,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc","Flat, maisonette or apartment: Purpose-built block of flats or tenement"
KS401EW0024,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)"
KS401EW0025,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc","Flat, maisonette or apartment: In commercial building"
KS401EW0026,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Caravan or other mobile or temporary structure 
KS402EW0001,Count,Household,All categories: Tenure
KS402EW0002,Count,Household,Owned: Owned outright
KS402EW0003,Count,Household,Owned: Owned with a mortgage or loan
KS402EW0004,Count,Household,Shared ownership (part owned and part rented)
KS402EW0005,Count,Household,Social rented: Rented from council (Local Authority)
KS402EW0006,Count,Household,Social rented: Other
KS402EW0007,Count,Household,Private rented: Private landlord or letting agency
KS402EW0008,Count,Household,Private rented: Other
KS402EW0009,Count,Household,Living rent free
KS402EW0010,Percentage,Household,Owned: Owned outright
KS402EW0011,Percentage,Household,Owned: Owned with a mortgage or loan
KS402EW0012,Percentage,Household,Shared ownership (part owned and part rented)
KS402EW0013,Percentage,Household,Social rented: Rented from council (Local Authority)
KS402EW0014,Percentage,Household,Social rented: Other
KS402EW0015,Percentage,Household,Private rented: Private landlord or letting agency
KS402EW0016,Percentage,Household,Private rented: Other
KS402EW0017,Percentage,Household,Living rent free
KS403EW0001,Count,Household,All categories: Type of central heating in household
KS403EW0002,Count,Household,Does not have central heating
KS403EW0003,Count,Household,Does have central heating
KS403EW0004,Count,Household,Occupancy rating (rooms) of -1 or less
KS403EW0005,Count,Household,Occupancy rating (bedrooms) of -1 or less
KS403EW0006,Average,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Average household size
KS403EW0007,Average,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Average number of rooms per household
KS403EW0008,Average,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Average number of bedrooms per household
KS403EW0009,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Does not have central heating
KS403EW0010,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Does have central heating
